x,y
15.65205431,238.8804016
55.05329704,240.8024178
94.32740784,243.813797
133.1123409,251.0167084
171.1204109,261.3157234
208.694149,273.3301888
246.1588631,285.6811867
283.6483536,297.9503212
321.6760406,308.4407005
359.730545,318.8260612
398.1300125,327.8612289
436.6751633,335.9985123
475.9612427,339.5699463
515.2843246,342.4329529
554.7287521,342.9732666
594.1381226,344.5406494
633.5531006,345.7541809
673.0011902,345.7541809
712.4480591,346.0019073
751.894165,346.4003525
791.3053284,345.4774246
830.6752167,342.9946289
870.0445709,340.5045471
909.397522,337.7669296
948.7505493,335.0293121
988.0705414,331.8790588
1027.358795,328.3321915
1066.647202,324.7853241
1105.736099,319.8360596
1144.456345,312.2931442
